ts	src	dst	type	ser	irt	seq	expected	data
70437	6002	6001	DAT	307	307	162	213	x'4252d40fa401000000ffff'
70453	6001	6002	ACK	308	307	213	163	x''
70547	6002	6001	DAT	308	0	163	213	x'42e24e00d200000000ffff'
70562	6001	6002	ACK	309	308	213	164	x''
70640	6002	6001	DAT	309	0	164	213	x'42e24e04d200000000ffff'
70656	6001	6002	DAT	310	309	213	165	x'32e26060e80109b3839d09e432f643857b5185274085fb508527026900000000ffff'
70687	6002	6001	DAT	310	310	165	214	x'0219017323ccde3e88917d102341b200000000ffff'
70703	6001	6002	DAT	311	310	214	166	x'021ad90731126414000000ffff'
70718	6002	6001	ACK	311	311	166	215	x''
70734	6001	6002	DAT	312	0	215	166	x'0252bd10aa0faaa51fa105000000ffff'
70765	6002	6001	DAT	312	312	166	216	x'0252bd90b40f1d7982d9de0f51da0f11055100000000ffff'
70797	6001	6002	ACK	313	312	216	167	x''
70812	6002	6001	DAT	313	0	167	216	x'42321f346a09000000ffff'
70828	6001	6002	ACK	314	313	216	168	x''
70859	6001	6002	DAT	315	0	216	168	x'022aed874842ad619c04553401a108000000ffff'
70890	6002	6001	DAT	314	315	168	217	x'02299a00513401a208cd11938134000000ffff'
70906	6001	6002	DAT	316	314	217	169	x'02094f86289e00510ca200000000ffff'
70937	6002	6001	ACK	315	316	169	218	x''
70953	6001	6002	DAT	317	0	218	169	x'02299a885004000000ffff'
70984	6002	6001	DAT	316	317	169	219	x'02299a08513411a26822aaa229401a000000ffff'
71015	6001	6002	DAT	318	316	219	170	x'02299a02513411a2084401000000ffff'
71031	6002	6001	ACK	317	318	170	220	x''
71062	6001	6002	DAT	319	0	220	170	x'02299a845004000000ffff'
71078	6002	6001	DAT	318	319	170	221	x'02299a04513409a26812aaa2a9401a000000ffff'
71109	6001	6002	ACK	320	318	221	171	x''
71156	6001	6002	DAT	321	0	221	171	x'ccdb4b6c4d411807f073232222e28a888808222282a8202288b6434410b7daaaaa6aabaaea79bddf5451f5ec55af7a57bdea5def375554622137161616d25858588858585888b6e7cca9fbbf33f9b6fffd24777e99933b33dffcbfe64147dc4115ee20fd73875a0779ab9a01ab1af4becc192cab1a347c993362bfcc996048603324c8864c3084d80c21d9300b0c61364358366481a18ccd50261b6683a192cd50291bb2c15093e444a90c35da10b51ae6c4ef985cebf0485e871ccbc985c6603ab98021d77282a431984e9060c8b39ce4d3590ca6937c7aac61aee546456330dda8c0901f7fb38d5219fc9b6dd46a9867a930d0184c1506301404cc951e1a83a9d20386f90173c58dc660aab881a13060ae7cd2184c954f302c08c455a0b90c8364435120ee2580cb305c362c0cc4bdc87019c6c886456018cf66182f1b1683610a9b618a6c58028634ef5589c6e0bf14d75a0d4bc130db7bdda331f82ff65556c33230e8e4048dc1949c0043180c8bd90ca6040b18968361159bc1942402c30a306c623398125d6058098612cf90c662283118d2620dabc050ca6628950dabc1b027d9095319fca469d86a580386e6c42f95a135f16b35ac054345b2934865f093d78956c33a301cf552cb34063f01dfdb6a580f8613c94e90cae0772204ad860d60686ec0a032b47684580d1bc1509d'
71156	6001	6002	DAT	322	0	222	171	x'ecfc8c3019aab5e167c466d804864b4df7072a83df215567356c06c355af9b82c6e077aa85ac862d60b8d9b4c7953319fc8ec19669190d5bc170a7e90eb49fc9e0776eb64ccb68280683eea0a531983a68c1b00d0c4fd80ca64e66309480e1059bc1d4510e86ed60a86733d4cb861d6068603334c8869d6078cf66782f1b4ac1f0c133a4b2183e180ca9b1865d60f8c866f8281bcac0f089cdf04936ec06c36736c367d9b0070c5fd80c5f64c35e307c65337c950dfbc0f08dcdf04d36ec07c37736c377d970000c3fd80c3f644339187eb1197ec98608187eb3197ecb868360f8c366f8231b2ac0f097cdf057361c02434091199a2724180e83a10d9ba18d6c380286b66c86b6b2e12818dab119dac986636068cf66682f1b2ac1d081cdd041361c074347cf309dc5d0d160981e6b3801864e6c864eb2e124183ab3193acb865360e8c266e8221b4e83a12b9ba1ab6c3803866e6c866eb2e12c18bab319bacb862a30f46033f4900de7c0d05339c1034c869edad0322da3a11a0cbd9413296732f4d28648b9cd701e0c7d94531c6132f4d186e288cd70010c7d9513a532f4d586a8d570110cfd94d34865e8a70d8d56c32530f4576e3082c6d0dfff5f3a68335c06c300e524501906684382d550038681ca0d3bd118066a43a2d570050c83951b3aa3310cd68690d570150c4394934b65'
71187	6002	6001	DAT	319	322	171	223	x'02299a0c513419a26832aaa269401a000000ffff'
71187	6001	6002	DAT	323	319	223	172	x'18a20db956c335300c556e803185c530541bfecb55a6c41aae836158d31e476518e6ef7156c30d308c60338c900d37c13092cd305236dc02c32836c328d9500b86d1ca0d56d31846fbe756abe13618c62ab76985c630561baaac863b6018c76618271bee822149b90d503486246da8b51aee814129b7118dc6a0b4a1ce6ab80f86096c8609b2e1011826b21926ca86876098c46698241b1e8161329b61b26c780c86a96c86a9b2e10918a6b119a6c986a760486133a4c8866760486533a4ca86e760486733a4cb861760c8f00c21164386c1108a35bc0443269b215336d481218bcd90251b5e81219bcd902d1beac190c366c8910dafc190c766c8930d6fc090cf66c8970d6fc150c06628900d0d6028643314ca86776028524e2395a1c87f078a37fc13000000ffff32e260609c06a44dd81926032900000000ffff'
71218	6002	6001	ACK	320	323	172	224	x''
71218	6001	6002	DAT	324	0	224	172	x'32865000000000ffff'
71234	6002	6001	ACK	321	324	172	225	x''
71265	6001	6002	DAT	325	0	225	172	x'028a324c0149b3839d0b000000ffff'
71281	6002	6001	DAT	322	325	172	226	x'02299a02513405a2084401000000ffff'
71312	6001	6002	ACK	326	322	226	173	x''
71312	6002	6001	DAT	323	0	173	226	x'4252341d4803000000ffff'
71343	6001	6002	DAT	327	323	226	174	x'024a4e81484e816a990ea401000000ffff'
71359	6002	6001	ACK	324	327	174	227	x''
71375	6001	6002	DAT	328	0	227	174	x'02299a8a5004000000ffff'
71406	6002	6001	DAT	325	328	174	228	x'02299a0a513415a2682aaaa219401a000000ffff'
71437	6001	6002	DAT	329	325	228	175	x'0209cf80289e0a510ca200000000ffff'
71453	6002	6001	ACK	326	329	175	229	x''
71484	6001	6002	DAT	330	0	229	175	x'02299a865004000000ffff'
71500	6002	6001	DAT	327	330	175	230	x'02299a0651340da20844016bc7e88777dfa8729444fe3fdbc3d7c6bbf3f13454bd338134000000ffff'
71531	6001	6002	DAT	331	327	230	176	x'02299a0951340da20844318b33443fbcfb4695a324f2ffd91ebe36de9d8f41c296ec0c82400a000000ffff'
71562	6002	6001	ACK	328	331	176	231	x''
71578	6001	6002	DAT	332	0	231	176	x'0219311d6104000000ffff'
71609	6002	6001	DAT	329	332	176	232	x'02e99d0ed13b1da2773a2488d186fe66016900000000ffff'
71625	6001	6002	ACK	333	329	232	177	x''
71687	6001	6002	DAT	334	0	232	177	x'0219310b62c474881130c7cc402802000000ffff'
71703	6002	6001	DAT	330	334	177	233	x'02a99d01513b03a27606aaa2d9401a000000ffff'
71734	6001	6002	DAT	335	330	233	178	x'02299a0d513403a2084401000000ffff'
71765	6002	6001	ACK	331	335	178	234	x''
71781	6001	6002	DAT	336	0	234	178	x'02299a895004000000ffff'
71812	6002	6001	DAT	332	336	178	235	x'02299a09513413a26826aaa239401a000000ffff'
71828	6001	6002	DAT	337	332	235	179	x'02299a03513413a2084401000000ffff'
71859	6002	6001	ACK	333	337	179	236	x''
71890	6001	6002	DAT	338	0	236	179	x'02299a855004000000ffff'
71906	6002	6001	DAT	334	338	179	237	x'02299a0551340ba26816aaa2b9401a000000ffff'
71937	6001	6002	DAT	339	334	237	180	x'ccdb4f4c1c551c07f05901110101011101bb2ab5222060f1605ad3ee5b28a540abb1c6186b24b1b7b6699bf6d883e9a1874661caa107121bd2430f3d344d0f3df4d0343d348a8a888a888a888a888a2b2a226a7597997930df792fbfebf73e9bcc27fbdefbbdf9fdc93cf496f7d0a0f7d0a0f76ac56b2be06d5801c7fcaab2625901c70c5565155ec5ef80e168d289bb4c86a38121eeda0cc36038ec57c6690c870d957130bc0b86437e659cc670c8501907c37b603890748acf30190ee84e913336c3fbd1537db56c986431e8537d5d353319368c44a36b2f954147d75eabe183e82de7089541df728e580da3d1db2697e135d9f061f4d6ef5219f4addfb51ac6a25f5f435486570dd51b307c14fd0abe4c6578c550bd01c3c7d16c0497e165d9f049342bb4faa7b5b1185e32aca5b6b0613c9a9d73a90c2f1af634183e8d45b2a45c861764c3442c92ade6323c2f1b3e8b45aa0697a90ccf19f63418266391eacd289541576f46ad86cfc1d093745254065d454b590d5f80a18bcdd0251bbe0443a7bf1fda590c9d86fdd01e364c81a1c38f7134860e438c03c3576068f7cf561a43bbe16c05c33418926c86a46cf81a0c0936434236cc80611b9b619b6cf8060ccff8dd903406dd85f7bad5f02d18b6b019b6c886efc0f0349bc1d4950a86593004ddc13b580ca6eee01d61c3f76078'
71937	6001	6002	DAT	340	0	238	180	x'8acd60ead206c31c1836b3194cddf260f8010c2d6c8616d9300f86263fcf47636832e4f9c0f023181afd9c318da1d1903306c34f60a8f773f734867a43ee1e0c3f83a18ecd50271b16c0b0c9af0375b018f474e1ba3a5047d8f00b1836a6ef7c2e93414f79baaecd90024366dab69fc9b0366ddb6f33fc0a86ccd4731f93616deab9cf665804c386f4f7f41b4c063d7dbefa5a46c36f60a849ff84ca50a32786ad86dfc150c566a8920d7f80a192cd50291b96c050e11b76b2182a0c869d61c39f6028673394cb86653094b2194a65c35f6028613394c886153014b1198a64c3df6028643314ca867fc090cf66c8970dff82218fcd90271b6e8321d73774b218720d86ceb0e13f30e4b019726443fa8d42862c3643966c888121c66688c9863bc0705b9119322f2418b2c0b0c26658910dd9605862332cc9861c302cb2191665c39d605860332cc8865c30ccfb865d2c8679836157d870171866d90cb3b2210f0c336c8619d9703718a6d80c53b2211f0c936c8649d95000867136c3b86c2804c3189b614c36dc03861136c3886c2802c3b06fe862310c1b0c5d614331186eb1196ec9861230dc6433dc940df782e13a9be1ba6c2805c33536c335d9500686ab6c86abb2a11c0c5794d3fb2693e14a60587d2da3e13e305c524e733f93e1526068eeb7192ac0705139db3385e06e16c3c5'
71968	6002	6001	ACK	335	340	180	239	x''
71968	6001	6002	DAT	341	0	239	180	x'c0b07dad3edd1d36dc0f860bca19a2325c080c4356432518ce2b6f4096c6703e308c5a0d0f80e19c7252548673812165355481615079cd1d3486c1c0b0aee7040cd56038ab9c3895e16c60885b0d356018489fad5486017db65a0d0f82a14f79cd4e3486bec0f0acd5b0010ca795d738476338ade3b4d51007c329e53561f6b0184e058675bda13d61c3436038a9bc267d1ac3c9c0e05a0d0f83e184f2066f680c27749cb61a1e01c371e50d71d1188eeb186735d482e1a072a6a90c0703c3b4d5b0110cfb957383cab03f30dcb01a1e05c33e36c33ed9b0090c7bd9d6d25e792d3d0686ee748c1b483fbc9bc5d0ad63dc8036ec0e1beac0d096beb75219daf4bdd56a781c0c5bfdfd4063d86ad80f60a80743abf286ad690cadfa3bce6a680043831fe3680c0d861807864630d4b2196a65c31360a866db0fd5f27e68024319db7e2893f74333180a7cc31e164381c1b0276c680143369b215b363c0986e584b7f0680ccb89e87e00c36630cc25c8fe87b9c060ff1f5ac13091f02e57348689c0301d35fc2f00000000ffff'
71984	6002	6001	ACK	336	341	180	240	x''
71984	6001	6002	DAT	342	0	240	180	x'32e26060980d62b0831d06000000ffff'
72015	6002	6001	ACK	337	342	180	241	x''
72093	6001	6002	DAT	343	0	241	180	x'0271e720b800000000ffff'
72125	6002	6001	ACK	338	343	180	242	x''
72203	6001	6002	DAT	344	0	242	180	x'0271e722b800000000ffff'
72218	6002	6001	DAT	339	344	180	243	x'02299a0d51341ba26836aaa279a8dcf9503d73207ae640f4cc8178076db8730154ed5c88dab910b5200a000000ffff'
72250	6001	6002	DAT	345	339	243	181	x'027219e741e9f9507a012804d8c1aa8cd9c14601a939100a2408000000ffff'
72265	6002	6001	ACK	340	345	181	244	x''
72297	6001	6002	DAT	346	0	244	181	x'0219310f6104000000ffff'
72328	6002	6001	ACK	341	346	181	245	x''
72406	6001	6002	DAT	347	0	245	181	x'0271e723b800000000ffff'
72422	6002	6001	DAT	342	347	181	246	x'4252b410aa681e44d13c8822345b174115cd87289a0f5104a200000000ffff'
72453	6001	6002	DAT	348	342	246	182	x'0299b0104a2f8298341fa2771e8402f100000000ffff'
72468	6002	6001	ACK	343	348	182	247	x''
72500	6001	6002	DAT	349	0	247	182	x'02e95980d003000000ffff'
72515	6002	6001	DAT	344	349	182	248	x'4252b418aa680144d10288221005000000ffff'
72547	6001	6002	ACK	350	344	248	183	x''
72609	6001	6002	DAT	351	0	248	183	x'02a95d0c51bb00a2680154d142842200000000ffff'
72625	6002	6001	DAT	345	351	183	249	x'4252b404aa682144d14288221005000000ffff'
72640	6001	6002	DAT	352	345	249	184	x'02295a0251b410a2084401000000ffff'
72672	6002	6001	ACK	346	352	184	250	x''
72687	6001	6002	DAT	353	0	250	184	x'ccdb4d6c54551407f06709a9841042082184102484100204106badb5f6e3763aada5b6b5d45a6b6d6badb596dad6b6d62a6005c5af76a65410fcaed5b87061ba72e1c2342c58b030c485312c0861c18205212c8861419ce97bf7d2f9bf7373b6ffdd2ce79777cf3bf79d8fe88915c49fd8d211a5e954fc2b440e742a1ef7440e8d418a1c3014c6df605c86ff74c313f14cc275965c26f19fa5224f46a73148191d0c4fc66f56c12c93c1ddac82599fa1387ec3dd4f657037dcfd5ec3539e2f0d9a2921e94b03a6844ae25f7c97a90c7b847800c3d3f12fef452ac363c27b090ca59e0a088d41aa8080a12c5e89ba46657095a86b5e4379bc22c86538a41b2af2629559aeb374583f4b264fae90d318a40a39182af3e44e058d41ea5480210186236c39ce758cfc39ae0a0ca36ccf61547f0e49301c8dbac03406d7419df11aaac17022eac6d36cddb84ef6b26e3c6cddd480e1149b419a2800c33360b0931d340669b2030cb560b01336340669c2060c87c060279d680cd2a41318eac06027ce680cd2c419189e054376d08ecae026ff02afa11e0c760293c6204d6082a1010cf3d1242c8d61de7d8b7a0d8d60f825931fa80c6e2279d26b780e0cbf66ce529ac9e026c36fa77d862630fc56112ca4980c6e427fe96f8986c360c82e2664d72aaa590c6e5362d9b64775aea1190cbfb319'
72687	6001	6002	DAT	354	0	251	184	x'a48d15303c0f863fd80cd2e610185ac0f0279b41dae002c30b60b8c066b8a01b5ac17091cd206d3482e145305c6233489ba5606803c35f6c0669c3170c2f81e16f3683b4690d867630fcc3669036dec1f03218aeb019aee8860e305c65335cd50d9d60b8ce66b8ae1bbac070233224590c37044332d7f00a186eb2196eea866e30dc6233dcd20daf82e10e9be18e6ee801c35d36c35dddf01a18eeb119eee9865e30dc6733dcd70daf83e1214366c8fe21c5d00786156c8615bae10d30ac6433acd40dfd60c86733e4eb86236058c56658a51b06c0b03a3254b118560b86aa5cc39b6058c36658a31b06c1b096cdb056370c81611d9b619d6e1806c37a36c37addf0161836b01936e88611306c64336cd40da360d8c466d8a41bc6c0b099cdb05937bc0d862d6c862dba611c0c5b4dd04965d86a0d9d5ec33b60d86682861493619b3534a47c8609306c37c15cb6899a60316cb786b907bddd44aee15d30ec30c1c20c936187352cccf80cef8161a709873b680c3b5d4c9ff6198e82619709caa80cbbaca1cc6b380686dd261cd8a231ec7631ed351c07c35e36c35eddf03e18f69970f88fc6b0cfe507af61120c074c30446538600d435ec307603868c241521ac3416b98f41a4e80a180cd50a01b4e82a190cd50a81b3e0443119ba148377c0486623643b16e38058612130ee957b218'
72718	6001	6002	DAT	355	0	252	184	x'4aac61d9ee4065aee1633094b2194a75c3276028673394eb864fc160d80c46377c0686049b21a11b3e074332f31d476548baef38af610a0c35265c80a231d458c3a2d7300d865a132ea2d1186aade1b6d79002431d9ba14e37a4c1506fc285711a43bd355cf61a66c0d06882052a43a3ab6b780da7c1d0c4f66e6dd2dfadb360688e0c86c5d02c184caee10b30b4b0195a74c31930b446398ec6d02ae438309c05435b14d334863621a6c1f02518dad90cedbae11c183ad8ce52877e96ce83a18b2da6bbf498fe0a0cdd518d8cc6d02dd4c8c0f035187ad80c3dbae11b30f446f5561a43af506f05c3b760e88beade34863ea1ee0d86efc0d06fc245651a43bf353ce2357c0f8601132ec856b01806dcddfb413fae22d7f00318064db8204b631874753eaf610e0cc399b34465187667c96bf8110c23991c9766328cb81c97f619e6c1306682c5149361ccd535523ec34f6018cfdc97a6990ce3eebe34ed33fc0c86894c3c4c3119265c3c4cc50c8f3e9c3948d91ff94b7fec7f01000000ffff'
72718	6002	6001	ACK	347	355	184	253	x''
72734	6002	6001	DAT	348	0	184	253	x'4252b414aa681144d12288221005000000ffff'
72765	6001	6002	DAT	356	348	253	185	x'0272199702691376b0a83184b26467e0075200000000ffff'
72797	6002	6001	ACK	349	356	185	254	x''
72828	6001	6002	DAT	357	0	254	185	x'02a95d8c500b000000ffff'
72828	6002	6001	DAT	350	357	185	255	x'4252b40caa683144d16288221005000000ffff'
72843	6001	6002	ACK	358	350	255	186	x''
72922	6001	6002	DAT	359	0	255	186	x'02a95d0651bb18a2763154d112842200000000ffff'
72922	6002	6001	ACK	351	359	186	256	x''
73015	6001	6002	DAT	360	0	256	186	x'02719722b800000000ffff'
73031	6002	6001	DAT	352	360	186	257	x'4252b41caa680944d11288a225a88a5640152d85285a0a5104a200000000ffff'
73047	6001	6002	DAT	361	352	257	187	x'02e9590ea55740f42e85e85d02a1403c00000000ffff'
73078	6002	6001	ACK	353	361	187	258	x''
73125	6001	6002	DAT	362	0	258	187	x'02e95986d003000000ffff'
73125	6002	6001	DAT	354	362	187	259	x'4252b412aa681944d13288221005000000ffff'
73156	6001	6002	DAT	363	354	259	188	x'02a95d0951bb0ca2084401000000ffff'
73172	6002	6001	ACK	355	363	188	260	x''
73218	6001	6002	DAT	364	0	260	188	x'02295a8e5004000000'
73234	6002	6001	DAT	356	364	188	261	x'4252b40aaa683944d17288221005000000ffff'
73250	6001	6002	ACK	365	356	261	189	x''
73281	6001	6002	DAT	366	0	261	189	x'ffff02295a0551b41ca2084401000000ffff'
73297	6002	6001	ACK	357	366	189	262	x''
73328	6001	6002	DAT	367	0	262	189	x'02295a815004000000ffff'
73328	6002	6001	DAT	358	367	189	263	x'4252b41aaa680544d10a88221005000000ffff'
73359	6001	6002	DAT	368	358	263	190	x'02295a0d51b402a2084401000000ffff'
73375	6002	6001	ACK	359	368	190	264	x''
73390	6001	6002	DAT	369	0	264	190	x'ccdb4d4c55471806e083409102e520506ad4a851638c1a31628cf107ceb936c62811133746136974e982854b17c4853146e56761880b434c8a485bda52a594b694a222a222a22245c52b2a22ad7845a594b654f09e73ea7dcf8cdff6dddf9b9c27df4c66e69d6f9c327eee5f22dff655ac6529a3b744bed3eeb136722856f8b72a212a83b75509690da7fc5b46b384c9e06d19cd129da1d2bf75cfa432785bf74cade1b4ff08954765d8a5d8f682a1ca7f94cda7327ca6387e80e10b7fa4504065d8a9380682e14b7fb4534865f0a29d42ade12b7fc4564c65d8ae8845c050ed8f3ab9eab04daec3d79ac899c6a08a9cc1f08d26faa731a8a27f307c3b497d054363505dc180a1060c5b1c43368b618bc2901d69f80e0c9bd90c9b65c31930e4b2197265c359306c64336c940db560d8e0ac0f34860d8af5010cdf83613d9b61bd6ca803c3a76c6349d53a04861fc0106033a85ab8c0500f068bcda06aa503c38f60c86633a85a1ac1f01318d6b01954ada560f8190cabd80cab6443031856b21956ca865fc0b0826d7d50b5bc83a1110ccb9d4c80c6b05c910980e157302c63332c930d4d6058eae44b3486a58a7c090ce7c0b084cda07a120586f36058ece4ad3486c58abc150c17c0b0d0b9dea631784f04dfb9de064333181638d7db3406efa966a1d670110cf303864965f09ecc9a'
73390	6001	6002	DAT	370	0	265	190	x'5a430b18e68d1b8a980cded365b34867b804863901237498c9e03d210f1dd6195ac1307bfc2f133fce6131ccf69e5fff6fc889345c06c34c36c34cd970050c33d80c3364c355304c63334c930d6d6098ca66982a1bae812183cd90211bdac190ce6648970dd7c190ca6648950d1d60486133a4c8861b6048663324cb869b6048623324c9865b6048603324c8864e30c4b319e265c36d30c4b119e26443171862d90cb1b2e1373044b319a265433718a2d80c51b2e10e18c66c32c3c4070986bb601865338cca867b601866330ccb861e300cb1198664c37d300cb219066543100c036c8601d9f0000c7d6c863ed9d00b865ec760b1187a15062bd2f0100c3d6c861ed9f0080cdd6c866ed9f0180c9d6c864ed9d007860e3643876c7802863636439b6ce807432b9ba155363c0543339ba159360c80a189cdd0241b7e0743039ba14136fc01867a3643bd6c7806865a3643ad6c1804430d9ba146363c0743359ba15a3684c050c566a8920d2fc050611bb38e30192a5cc3ac233ac310184e8e1b8a980c273d4391cef0120c276c23bf98c970c235e417eb0cafc0707cbc0e254c86e35e1d4a7486d7603866871bb6680cc7bc3a680dc36028b5c3cd7f348652d750a035fc0986a376b89194c670d435146a0d236038c46638241bfe02c3013bdc944c6338e01a8ab5865130ec770c368b61'
73422	6002	6001	DAT	360	370	190	266	x'4252b4064803000000ffff'
73422	6001	6002	ACK	371	360	266	191	x''
73437	6001	6002	DAT	372	0	266	191	x'bfc260471afe06c33e36c33ed9f00f18f6b219f6ca867fc1b087cdb047368c8161379b61b76cf80f0c3bd80c3b6483111d69d86a1be55486adaea15c6b8802c326db68a7326c720ded5ac32430acb38d2095619d6b086a0dd160586d1b8d5486d5aea1516b880143169b214b36c48261119b61916cf8000c73d9e6f45c794ec781613a9b61ba6c980c8634b6b194268fa5783024b2191265c3876088611b4b31f2584a00c388456618b144432218fad90cfdb221090c5d16d97ce8720dfaf9f011185ad80c2db221190c756c863ad96082a192cd50291b52c050c66628930d53c070d03104580c07158640a421150c0556f8b0416328700d41ad210d0c799661963219f25cc3dbcf521ad2c190691921aa3a64ba8690b60e1f83c1641b4ba63c9632c010cc092fea3486608e6368d71a3e0143399ba1fc3d863702000000ffff32e26060580962b0831d06e432ae01d200000000ffff'
73468	6002	6001	DAT	361	372	191	267	x'02295a0951b412a2084401000000ffff'
73500	6001	6002	DAT	373	361	267	192	x'3261078b1a432800000000ffff'
73515	6002	6001	DAT	362	373	192	268	x'4252b4164803000000ffff'
73547	6001	6002	DAT	374	362	268	193	x'0289ae852a5e85500c000000ffff'
73562	6002	6001	ACK	363	374	193	269	x''
73625	6002	6001	DAT	364	0	193	269	x'02295a0551b40aa26815aaa275401a000000ffff'
73640	6001	6002	DAT	375	364	269	194	x'027157a3ea5d07d1bb0aa2174401000000ffff'
73672	6002	6001	ACK	365	375	194	270	x''
73734	6002	6001	DAT	366	0	194	270	x'02295a0d51b41aa26835aaa2f5401a000000ffff'
73750	6001	6002	DAT	376	366	270	195	x'02295a83aa683d44d16a88221005000000ffff'
73765	6002	6001	DAT	367	376	195	271	x'02295a0351b406a2084401000000ffff'
73797	6001	6002	DAT	377	367	271	196	x'02f2d64078200a000000ffff'
73828	6002	6001	ACK	368	377	196	272	x''
73843	6001	6002	DAT	378	0	272	196	x'0269598bd002000000ffff'
73875	6002	6001	DAT	369	378	196	273	x'4252b401'
73906	6002	6001	DAT	370	0	197	273	x'aa682d44d15a88a2b590b4071a8f07000000ffff'
73906	6001	6002	ACK	379	369	273	197	x''
73922	6001	6002	DAT	380	370	273	198	x'0269d90051b416a2084401000000ffff'
73937	6002	6001	DAT	371	380	198	274	x'4252bb114803000000ffff'
73953	6001	6002	DAT	381	371	274	199	x'02295a87aa68239006000000ffff'
73968	6002	6001	DAT	372	381	199	275	x'02a95d0751bb0ea2164401000000ffff'
74000	6001	6002	DAT	382	372	275	200	x'022a5a075104a200000000ffff'
74031	6002	6001	DAT	373	382	200	276	x'4252b4094803000000ffff'
74047	6001	6002	DAT	383	373	276	201	x'02896e822a5e8f500c000000ffff'
74078	6002	6001	ACK	374	383	201	277	x''
74093	6001	6002	DAT	384	0	277	201	x'ccdb3f4c13611806f00b3184186388310611b12262452815112b229e3dc48a8815112b225644ac88ffffe19fa1838303d00e0c0e0c0c0c0e0c1d1c1c1c1c1c1c1c181c1c181c1c1c181c181c186cb557ec937e3eebb3f792fbf5f9f2dd7defbd6f36b8cd105c59d04a65fe21bf4a7065ee8123b51a9c3f7ff19583c1932d6eca183c058a9b60d802066fb6c82c63f016283283a1021f286a063f376c054340cd10e0864a30d86a069b1bb68121a466087183075f12d50c616ed80e86889a21c20d556088aa19a2dcb0030c3135438c1baaf1e0a766b8cb0d3bc130ae6618e7861a30c4b3cd423286b86b881b0dbbc0f0326885a50c2f5d43d868f06231279d4352c9f02a9743d264d80d8689740e0925c3442e8784c9500b8664d0b2331dc00d2a86a46bb0571b931bf20d7bc0301dfcdb892d6398760dff348883a10e0bb46a86d7dc500f861935c30c37f8b098a36698e5860630cca919e6b8c18f1f5dd40c6fb8612f18e6d50cf3dcd00886949a21c50dfbc0f056cdf0961b9af043aa9ae11d37ec07c37b35c37b6e6806c30735c3076e3800868f6a868fdc10c0e60835c3276e380886cf6a86cfdcd002860535c302371c02c31735c3176e68c5862735c3576e380c864535c32237b4e1076d35c3376e380286ef6a86efdc606313a39ae107371c05c3929a61891b8260f8a966f8c9'
74093	6001	6002	DAT	385	0	278	201	x'0d0e1896d50ccbdcd08e8dc96a865fdc700c0c2b6a86156ee80083e588193237440cc7c150a46628e286100e1ba819d670c3093014ab198ab9a1130c256a86126e380986b559834fc5b0b680c1976fe8c2012235c33a6e380586f56a86f5dcd08d4dbd6a86526e380d860d6a860ddc10c6a14035c3466e3803864d6a864ddcd0833dba6a86326e380b867235433937f4e2a0af9aa1821bce81a152cd50c90d7dd8efad66f070c3793054a919aab82102866a354335375c00438d9aa1861bfa717640cde0e5868b60a85533d472c30018ead40c75dc70090c3e35838f1b06710e45cde0e786cb60685433347243140c4d6a86266eb8028666354333370ce14c939a21c00d57c1d0a26668e1866130b4aa195ab9e11a18dad40c6ddc300206dbb166a50cb66b98351aae8321e8589e292543d035fcb9ad82861818dad3868492a13d6748980c37c0d0915e4b52868edc5a321a46c11072ac949421e41a5246c34d3074a6d75252c9d0995b4b4993610c0c5de94b323fae573174e5f6d655437dbee11618bab339c818ba0be40086db60083b962d6508bb06db68b803861ec70a4b197a5c43d868b80b865eb51c7a790ef7c0d0e758a552863ed7506a34dc0743c4b116124a86886b5848980c0fc0d0ef58492943bf6b481a0d0fc13090be44ca30907b3e180d8fc03098de97a6940c83b97d'
74125	6002	6001	DAT	375	385	201	279	x'02295a0f51b41ea2683daaa2cd401a000000ffff'
74125	6001	6002	DAT	386	0	279	201	x'69ca64780c86a863c527950c51d7109f34199e8061c8b1a2134a8621d7109d3019c6c1309c3d8bca18860b9c45c1f0140c236a86116e780686989a21c60dcfc130aa6618e58617601853338cfdc7f05b00000000ffff'
74156	6002	6001	ACK	376	386	202	280	x''
74156	6001	6002	DAT	387	375	280	202	x'32e26060dc0ca44dd819d603296308051465d8009266073b17000000ffff'
74187	6002	6001	DAT	377	387	202	281	x'0229da0051b401a2084401000000ffff'
74218	6001	6002	DAT	388	377	281	203	x'024a6e8048822800000000ffff'
74234	6002	6001	DAT	378	388	203	282	x'4252b4054803000000ffff'
74265	6001	6002	DAT	389	378	282	204	x'02496e4448824cd802a401000000ffff'
74281	6002	6001	DAT	379	389	204	283	x'0229da0851b411a2084401000000ffff'
74312	6001	6002	ACK	390	379	283	205	x''
74343	6002	6001	DAT	380	0	205	283	x'4252b4154803000000ffff'
74359	6001	6002	DAT	391	380	283	206	x'022ada085104a22cd919f8a06a37a1aadd0aa401000000ffff'
74390	6002	6001	DAT	381	391	206	284	x'0229da0451b409a2084401000000ffff'
74406	6001	6002	DAT	392	381	284	207	x'02aadd04510ba200000000ffff'
74437	6002	6001	DAT	382	392	207	285	x'4252b40d4803000000ffff'
74468	6001	6002	DAT	393	382	285	208	x'02896e832ade8c500c000000ffff'
74484	6002	6001	DAT	383	393	208	286	x'0229da0c51b419a2084401000000ffff'
74515	6001	6002	ACK	394	383	286	209	x''
